ri,smiles,group,stratify_group
1554.2,C=Cc1ccc(C=C)cc1,benzene,benzene
1541.0,C=Cc1cccc(C=C)c1,benzene,benzene
2241.5,COC(=O)C(C)Oc1ccc(Cl)cc1Cl,ether,ether
2806.3333333333335,CCCOC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,NH0,NH0
2759.3333333333335,CC(C)OC(=O)c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,NH0,NH0
1834.5,C=CCOC(=O)c1ccccc1,C_O,C_O
1977.0,CCCOC(=O)c1cccc(Cl)c1,C_O,C_O
1981.6666666666667,CCCOC(=O)c1ccc(Cl)cc1,C_O,C_O
2069.3333333333335,CCCOC(=O)c1ccccc1Cl,C_O,C_O
1869.0,CC(C)OC(=O)c1ccc(Cl)cc1,C_O,C_O
1868.0,CC(C)OC(=O)c1cccc(Cl)c1,C_O,C_O
1956.3333333333333,CC(C)OC(=O)c1ccccc1Cl,C_O,C_O
2241.5,COC(=O)COc1ccc(Cl)cc1C,ether,ether
1073.5,CCCCCSC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,alkyl_halide,alkyl_halide
2028.0,CCn1ccc2ccccc21,Ar_N,Ar_N
2524.5,CCc1c[nH]c2ccccc12,Ar_N,Ar_N
2520.5,Cc1[nH]c2ccccc2c1C,aryl_methyl,aryl_methyl
2851.5,CCOc1ccc2cc[nH]c2c1,Ar_N,Ar_N
2405.3333333333335,CCCOC(=O)c1ccc([N+](=O)[O-])cc1,C_O,C_O
2308.6666666666665,CC(C)OC(=O)c1ccc([N+](=O)[O-])cc1,C_O,C_O
1483.2,c1ccc2c(c1)CCCC2,aryl_methyl,aryl_methyl
1246.1,C1=C[C@H]2C3C=CC(C3)C2C1,bicyclic,bicyclic
1428.7,C/C=C/c1ccc(C)cc1,allylic_oxid,allylic_oxid
1464.0,C/C=C/c1ccccc1C,allylic_oxid,allylic_oxid
1456.5666666666666,C=Cc1ccc(CC)cc1,aryl_methyl,aryl_methyl
1423.7,C=Cc1cccc(CC)c1,aryl_methyl,aryl_methyl
1440.5,C=Cc1ccc(C)cc1C,aryl_methyl,aryl_methyl
1485.1,C=Cc1cccc(C)c1C,aryl_methyl,aryl_methyl
1432.2,C=Cc1cc(C)ccc1C,aryl_methyl,aryl_methyl
1411.05,C=C(C)c1ccc(C)cc1,allylic_oxid,allylic_oxid
1467.9,Cc1cccc2c1CCC2,aryl_methyl,aryl_methyl
1446.9,Cc1ccc2c(c1)CCC2,aryl_methyl,aryl_methyl
1560.0,CC(N)Cc1cccc(C(F)(F)F)c1,alkyl_halide,alkyl_halide
1701.0,C=CCc1ccc(OC)cc1,allylic_oxid,allylic_oxid
1845.0,C/C=C/c1ccc(OC)cc1,allylic_oxid,allylic_oxid
1803.0,CC(C)c1ccc(C=O)cc1,C_O,C_O
1738.6,C[C@@H]1OCCc2ccccc21,benzene,benzene
1761.0,C[C@@H]1COCc2ccccc21,benzene,benzene
1736.0,C[C@@H]1Cc2ccccc2CO1,benzene,benzene
1834.0,O=C1CC2CC1[C@H]1C=CC[C@@H]21,bicyclic,bicyclic
1882.0,O=C1CC2CC1[C@@H]1C=CC[C@H]21,bicyclic,bicyclic
1830.0,O=C1CC2CC1[C@H]1CC=C[C@@H]21,bicyclic,bicyclic
1828.0,O=C1CC2CC1[C@@H]1CC=C[C@H]21,bicyclic,bicyclic
1925.0,c1ccc(CC2OCCO2)cc1,ether,ether
1797.8,CCCOC(=O)c1ccccc1,C_O,C_O
1686.75,CC(C)OC(=O)c1ccccc1,C_O,C_O
2659.0,BrC12CC3CC(Br)(C1)CC(Br)(C3)C2,alkyl_halide,alkyl_halide
1641.0,CCCCc1ccc(Cl)cc1,aryl_methyl,aryl_methyl
915.0,CCCCCCOC(=O)C(F)(F)C(F)(F)C(F)(F)F,alkyl_halide,alkyl_halide
1837.0,CCN1CCc2ccccc21,NH0,NH0
2147.0,CCC1CNc2ccccc21,NH1,NH1
1859.05,C=Cc1cccc(N(C)C)c1,NH0,NH0
2429.0,CCOc1ccc2c(c1)NCC2,NH1,NH1
2391.76,CCN(C)C(=O)c1ccccc1,C_O,C_O
2234.0,CCCCc1ccc([N+](=O)[O-])cc1,NH0,NH0
2056.0,CCCCc1ccccc1[N+](=O)[O-],NH0,NH0
2113.0,CCCOC(O)=Nc1ccccc1,Al_OH,Al_OH
2204.0,CC(N)Cc1ccc2c(c1)OCO2,ether,ether
2000.0,CC(C)OC(O)=Nc1ccccc1,Al_OH,Al_OH
1229.9,CC(C)(C)c1ccccc1,benzene,benzene
1321.6916666666666,CCCCc1ccccc1,aryl_methyl,aryl_methyl
1252.7,C1=CC2C3CCC(C3)C2C1,bicyclic,bicyclic
1290.225,CCCc1ccc(C)cc1,aryl_methyl,aryl_methyl
1284.925,CCCc1cccc(C)c1,aryl_methyl,aryl_methyl
1319.2333333333336,CCCc1ccccc1C,aryl_methyl,aryl_methyl
1241.275,CCC(C)c1ccccc1,benzene,benzene
1295.3666666666668,CCc1ccc(CC)cc1,aryl_methyl,aryl_methyl
1288.8166666666666,CCc1cccc(CC)c1,aryl_methyl,aryl_methyl
1308.45,CCc1ccccc1CC,aryl_methyl,aryl_methyl
1339.7,CCc1ccc(C)cc1C,aryl_methyl,aryl_methyl
1345.575,CCc1ccc(C)c(C)c1,aryl_methyl,aryl_methyl
1313.2166666666667,CCc1cc(C)cc(C)c1,aryl_methyl,aryl_methyl
1398.1666666666667,CCc1cccc(C)c1C,aryl_methyl,aryl_methyl
1332.2666666666669,CCc1cc(C)ccc1C,aryl_methyl,aryl_methyl
1359.8,CCc1c(C)cccc1C,aryl_methyl,aryl_methyl
1470.6833333333332,Cc1ccc(C)c(C)c1C,aryl_methyl,aryl_methyl
1435.1125,Cc1cc(C)c(C)c(C)c1,aryl_methyl,aryl_methyl
1429.3583333333331,Cc1cc(C)c(C)cc1C,aryl_methyl,aryl_methyl
1259.425,Cc1cccc(C(C)C)c1,aryl_methyl,aryl_methyl
1224.0,C=C(C)C1C=CC(C)=CC1,allylic_oxid,allylic_oxid
1275.225,Cc1ccc(C(C)C)cc1,aryl_methyl,aryl_methyl
1275.6,Cc1ccccc1C(C)C,aryl_methyl,aryl_methyl
1242.3333333333333,CC(C)Cc1ccccc1,benzene,benzene
2264.0,BrC12CC3CC(C1)CC(Br)(C3)C2,alkyl_halide,alkyl_halide
2013.0,ClC12CC3CC(C1)CC(Cl)(C3)C2,alkyl_halide,alkyl_halide
1871.0,CC(C)(N)Cc1ccc(Cl)cc1,NH2,NH2
1848.0,CN1CCCC1c1ccccn1,NH0,NH0
2319.0,CCN(CC)C(=O)c1cccnc1,NH0,NH0
1781.0,CC(C)(O)Cc1ccccc1,Al_OH,Al_OH
1676.0,CC1=CC(=O)C2(C(C)C)CC12,allylic_oxid,allylic_oxid
2173.0,Cc1ccc(C(C)C)c(O)c1,Ar_OH,Ar_OH
1503.0,Cc1coc2c1CCC(C)C2,aryl_methyl,aryl_methyl
2113.0,CC(C)c1ccc(CO)cc1,Al_OH,Al_OH
1883.5,O[C@@H]1CC2CC1[C@H]1C=CC[C@@H]21,bicyclic,bicyclic
1972.0,O[C@H]1CC2CC1[C@H]1C=CC[C@@H]21,bicyclic,bicyclic
1965.0,O[C@@H]1CC2CC1[C@@H]1C=CC[C@H]21,bicyclic,bicyclic
1923.0,O[C@@H]1CC2CC1[C@H]1CC=C[C@@H]21,bicyclic,bicyclic
1969.0,O[C@H]1CC2CC1[C@H]1CC=C[C@@H]21,bicyclic,bicyclic
1965.0,O[C@@H]1CC2CC1[C@@H]1CC=C[C@H]21,bicyclic,bicyclic
