smiles,NP-KV_value,NP-KV,P-KV_value,P-KV,NP-VAN_value,NP-VAN,P-VAN_value,P-VAN,group,stratify_group
CCCCCCCCCCCCCCOC(=O)C(C)(C)C(=O)Oc1ccc(C(C)=O)cc1,,0.0,,0.0,3124.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC(C)CC(=O)OCC1=CCC2CC1C2(C)C,,0.0,,0.0,1526.5,1.0,,0.0,C_O,C_O
CCCC(OC(=O)CCC(=O)OCCCCCCCCBr)C(C)C,,0.0,,0.0,2501.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
CC(C)(C)C(C)(C)N=[N+]=[N-],,0.0,,0.0,,0.0,1568.0,1.0,NH0,NH0
C=C(C)CC(C)=O,,0.0,,0.0,,0.0,1110.0,1.0,C_O,C_O
C[C@@]12CC=C(OC(=O)C(F)(F)F)C=C1CCC1C2CC[C@]2(C)C1CC[C@H]2OC(=O)C(F)(F)C(F)(F)C(F)(F)F,2392.0,1.0,,0.0,,0.0,,0.0,alkyl_halide,alkyl_halide
CCCCCCCCCCOC(=O)CCCCCC(=O)OCc1c(F)c(F)c(F)c(F)c1F,,0.0,,0.0,2792.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
O=C(OCCCCCCCl)c1ccc(C(F)(F)F)c(F)c1,,0.0,,0.0,1843.0,1.0,,0.0,halogen,halogen
CCCC(C)COC(=O)c1ccccc1F,,0.0,,0.0,1574.0,1.0,,0.0,C_O,C_O
CCCCCCOC(O)=NC1(C(=O)OCCCCC)CCCC1,,0.0,,0.0,2257.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
Cn1cc(O[Si](C)(C)C(C)(C)C)n([Si](C)(C)C(C)(C)C)c1=N[Si](C)(C)C(C)(C)C,,0.0,,0.0,1941.0,1.0,,0.0,NH0,NH0
CCCCCC[C@H]1N=C(C)[C@H](CC)S1,,0.0,,0.0,1603.0,1.0,,0.0,unbrch_alkane,unbrch_alkane
