ri,smiles,group,stratify_group
1300.4,COC(/C=C(/C)CCC=C(C)C)OC,allylic_oxid,allylic_oxid
816.0,CC1CC(C)C(C)(C)C1,unknown,unknown
1804.0,CC(C)=NNC(=O)c1cc(C)[nH]n1,Ar_N,Ar_N
1049.0,C[C@H]1CCC[C@@H](C)CCC1,unknown,unknown
1019.0,ClCCCCCCl,alkyl_halide,alkyl_halide
1482.2,CCCCC(Cl)COC(=O)C(Cl)(Cl)Cl,alkyl_halide,alkyl_halide
2052.24,CCCC(C)N=c1nc(Cl)[nH]c(=NC(C)CCC)[nH]1,Ar_N,Ar_N
1130.3,CCCCCCCCCOC(=O)C(F)(F)F,unbrch_alkane,unbrch_alkane
2531.3333333333335,CCCCCCCCCCCCC(C)CCCCCCCCCCCC,unbrch_alkane,unbrch_alkane
1140.0,C=CCCCc1ccccc1,allylic_oxid,allylic_oxid
1895.0,Clc1ccc(Cl)c(-c2c(Cl)cccc2Cl)c1,halogen,halogen
1443.0,CCCCCCCC(C)CCCCCC,unbrch_alkane,unbrch_alkane
1182.25,c1ccc2sccc2c1,benzene,benzene
1117.0,CCc1cccc(OC)c1,aryl_methyl,aryl_methyl
1911.75,CCCCCCCCCCCOC(=O)c1c(F)c(F)c(F)c(F)c1F,unbrch_alkane,unbrch_alkane
1796.0,CCCCCC(Cl)CCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
1490.0,O=C1C2CC3CC1CC(C2)C3=O,C_O,C_O
1159.15,C=C1CC2CC1C1CC(C)=CC21,bicyclic,bicyclic
956.2933333333334,CCCC1CC=CCC1,allylic_oxid,allylic_oxid
3551.0,CCCCCCCCCCCCCCCCC(C)CCCC(C)CCCCCCCCCCCCCC,unbrch_alkane,unbrch_alkane
1793.0,C[Si](C)(C)OC(=O)CCCCCCCC(=O)O[Si](C)(C)C,unbrch_alkane,unbrch_alkane
937.475,CCCCC(C)C(C)CC,unbrch_alkane,unbrch_alkane
1074.3333333333333,OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,alkyl_halide,alkyl_halide
