ri,smiles,group,stratify_group
1325.0,CCCCCOC(=O)C(C)CC,unbrch_alkane,unbrch_alkane
904.0,CC(=O)OC(C)C,C_O,C_O
1399.4,CCCCCCCC1=CCC=C1,allylic_oxid,allylic_oxid
1331.056763285024,CCCCC/C=C\CCCCCC,unbrch_alkane,unbrch_alkane
2123.0,CCCCC(Cl)CCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
1403.6,CCc1ccc(CC)c(C)c1,aryl_methyl,aryl_methyl
1686.75,CC(C)OC(=O)c1ccccc1,C_O,C_O
1809.6666666666667,CC(C)[C@H]1CC[C@H](CO)CC1,Al_OH,Al_OH
2230.0,CO[C@H]1CCC2C[C@H](O)CCC2C1,Al_OH,Al_OH
2861.0,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
1062.89,ClCBr,alkyl_halide,alkyl_halide
2008.7142857142856,Cc1ccc2cccnc2c1,Ar_N,Ar_N
2274.75,CCCCCCC(Cl)CCCCCOC(C)=O,unbrch_alkane,unbrch_alkane
2660.0,CCCCCCCCCCCCCCC(=O)OCC(Cl)(Cl)Cl,unbrch_alkane,unbrch_alkane
2099.133333333333,O=C(CCl)c1ccccc1,C_O,C_O
1075.8333333333337,CCCOC(=O)C(C)C,C_O,C_O
2574.0,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,halogen,halogen
1106.085,CCCCC(C)=O,C_O,C_O
1561.0,CCCCCCCCCCCCl,unbrch_alkane,unbrch_alkane
1093.0,CCCN1CCCC(C)C1,NH0,NH0
2323.2666666666664,C#CC1(O)CCCCCCCCCCC1,Al_OH,Al_OH
1142.0,CCC(=O)OC(CC)CC,C_O,C_O
1291.0,Cc1csc(C)n1,aryl_methyl,aryl_methyl
2113.0,CC(C)c1ccc(CO)cc1,Al_OH,Al_OH
2050.0,CCOC(=O)C(C#N)C1(C)CCCCC1,C_O,C_O
1844.5,CCCCCCCCC(Cl)C(=O)OC,unbrch_alkane,unbrch_alkane
1593.971212121212,CCCCCCCCC1=CCCCC1,unbrch_alkane,unbrch_alkane
2258.5,Cc1ccc(-c2ccc(C)cc2)cc1,aryl_methyl,aryl_methyl
1613.75,CCCC/C=C/CCCCCCCCCC,unbrch_alkane,unbrch_alkane
1714.75,CCC(Cl)CC(=O)OCCl,alkyl_halide,alkyl_halide
1377.2,C=CC(=O)OCCCCCC,unbrch_alkane,unbrch_alkane
1837.0,C=C(C)C(=O)OCCCCCCCCCC,unbrch_alkane,unbrch_alkane
497.0,C=CC=C,allylic_oxid,allylic_oxid
1347.0,CCCCCC(=O)OCC(C)C,C_O,C_O
1626.0,CC(=O)OC1CC2(C(C)C)CC2C1C,C_O,C_O
1165.0,CCCCCOCCCCC,unbrch_alkane,unbrch_alkane
1686.0,C=C1CCCC(C)(C)C2C=C(C)CCC12,allylic_oxid,allylic_oxid
2081.4,CCCCCCCCCC(Cl)COC(C)=O,unbrch_alkane,unbrch_alkane
1041.0,C=C(C)C(=O)OC(C)C,C_O,C_O
1603.75,COC(=O)CCCCCl,C_O,C_O
1441.75,CCc1ccccc1Cl,aryl_methyl,aryl_methyl
2668.0,CCCCCCC(Cl)CCCCCCCCCC(=O)OC,unbrch_alkane,unbrch_alkane
1264.7666666666669,C=CCc1ccccc1,allylic_oxid,allylic_oxid
1643.6666666666667,CCCCC12CC3CC(CC(C3)C1)C2,unknown,unknown
1270.0,C=C(C)C1=CCC(C)CC1,allylic_oxid,allylic_oxid
1264.0,CCC[C@@H](Cl)[C@H](C)Cl,alkyl_halide,alkyl_halide
1544.0,COC(=O)C12CCCC1CCC2,C_O,C_O
1337.4416666666666,CCCCCCCC1C=CCC1,unbrch_alkane,unbrch_alkane
2241.5,COC(=O)COc1ccc(Cl)cc1C,ether,ether
1091.5,CCCC(CC)C(CC)CCC,unknown,unknown
1047.6666666666667,CCC(C)(Br)CC,alkyl_halide,alkyl_halide
2154.0,NCCNCCNCCN,unbrch_alkane,unbrch_alkane
1567.0,CCCc1sc(CC)cc1C,aryl_methyl,aryl_methyl
1254.6233333333334,Cc1cc(C)cc(C)c1,aryl_methyl,aryl_methyl
2461.75,Oc1cc(Cl)c(Cl)cc1Cl,halogen,halogen
1248.5,CCOCCO,Al_OH,Al_OH
1674.0,C#CCOC(=O)c1c(F)c(F)c(F)c(F)c1F,halogen,halogen
1521.6666666666667,C=CCOC(=O)CCCl,C_O,C_O
1552.6666666666667,CC(C)C=C1C2CC3CC(C2)CC1C3,allylic_oxid,allylic_oxid
2839.3333333333335,CCCCCCCCCCCCCCCCCCOC(=O)C(C)Cl,unbrch_alkane,unbrch_alkane
2656.596666666667,CN(C(=O)c1ccccc1)C1CCC1,C_O,C_O
1850.2142857142856,CCCCCCCCCCCO,unbrch_alkane,unbrch_alkane
1069.888888888889,CCCCC(Cl)CC,alkyl_halide,alkyl_halide
1501.3333333333337,CC(C)CCCC(C)C1CCC(C)CC1,unknown,unknown
1512.3333333333333,COC(=O)C1(C)CC=C(C)CC1,allylic_oxid,allylic_oxid
1095.5,CCCCCCCO[Si](C)(C)C,unbrch_alkane,unbrch_alkane
1870.0,CC(=O)O[C@H]1CC2CC1[C@@H]1CCC[C@H]21,bicyclic,bicyclic
1245.0,CCCCCC(Cl)CCC,alkyl_halide,alkyl_halide
1555.3333333333333,NCCCO,Al_OH,Al_OH
847.0,C=C(CC)CCCC,allylic_oxid,allylic_oxid
1725.0,C=C1CC[C@@H](C(C)C)[C@@H]2C=C(C)CC[C@H]12,allylic_oxid,allylic_oxid
1560.0,CC(N)Cc1cccc(C(F)(F)F)c1,alkyl_halide,alkyl_halide
1240.275,CCCCCCSC,unbrch_alkane,unbrch_alkane
1775.75,CCC(C)OC(=O)c1ccccc1,C_O,C_O
1146.1770833333333,CCc1ccccc1,aryl_methyl,aryl_methyl
1770.5,CC(C)=CCC/C(C)=C1/CC=C(C)CC1,allylic_oxid,allylic_oxid
1684.0,CCCCCCCCSCCCC,unbrch_alkane,unbrch_alkane
2890.5,COC(=O)CCCCCCCCCCCCCCCCCCl,unbrch_alkane,unbrch_alkane
1228.0,CCc1coc(CC)n1,aryl_methyl,aryl_methyl
1380.0,Cc1nc(C)c(C)s1,aryl_methyl,aryl_methyl
2593.5,CCCCCCCCCCCCCCOC(=O)CCCl,unbrch_alkane,unbrch_alkane
1895.5,OCCCCO,Al_OH,Al_OH
1588.15,CCCCCCCCCOC(C)=O,unbrch_alkane,unbrch_alkane
1681.0,CCCCCCOC(=O)C(C)Br,unbrch_alkane,unbrch_alkane
1386.8,CCCCCCCOC(C)=O,unbrch_alkane,unbrch_alkane
551.0,C=C=CC,allylic_oxid,allylic_oxid
1750.5,C=C(C)[C@@H]1CC[C@@]2(C)CCC=C(C)C2C1,allylic_oxid,allylic_oxid
2849.5,CC(C)C1=CC2=C(CC1)C1(C)CCCC(C)(C=O)C1CC2,allylic_oxid,allylic_oxid
2486.75,CCCCC(Cl)CCCCCCCCCOC(C)=O,unbrch_alkane,unbrch_alkane
1522.9,CC/C=C/CCCCCCCCCCC,unbrch_alkane,unbrch_alkane
2515.6666666666665,C=CCC(C)OC(=O)c1ccc([N+](=O)[O-])cc1,C_O,C_O
2234.0,COC(=O)CCCCCCCCCCCCl,unbrch_alkane,unbrch_alkane
1276.0,CC(C)(C)CCO,Al_OH,Al_OH
1520.5,CCc1ccc(C)c(CC)c1C,aryl_methyl,aryl_methyl
1833.0,C/C=C(/CC)C12CC3CC(CC(C3)C1)C2,allylic_oxid,allylic_oxid
1105.0,CSSC,unknown,unknown
1273.2,Cc1cccc(C)n1,aryl_methyl,aryl_methyl
2453.5,CCCCCCCCCCCCCCC(Cl)C(=O)OC,unbrch_alkane,unbrch_alkane
1064.4009259259258,CCCCC1=CCCC1,allylic_oxid,allylic_oxid
2624.5,CC(=O)n1c(C)c(C)c2ccccc21,Ar_N,Ar_N
1415.0,CCC(C)(O)CCCC(C)C,Al_OH,Al_OH
2382.2,CCCCCCCCCCCCCCCCCCC1CCCC1,unbrch_alkane,unbrch_alkane
1706.0,COc1ccc(Br)cc1,benzene,benzene
